2026-02-04 13:16:48.390 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-02-04 13:16:48.428 [main] INFO  com.sau.BlogSystemApplication - Starting BlogSystemApplication using Java 17.0.13 with PID 17320 (D:\Java\blog-project\blog-system\target\classes started by 77639 in D:\Java\blog-project)
2026-02-04 13:16:48.428 [main] INFO  com.sau.BlogSystemApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-04 13:16:49.052 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-02-04 13:16:49.054 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-02-04 13:16:49.078 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
2026-02-04 13:16:49.760 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-02-04 13:16:49.769 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-02-04 13:16:49.770 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-02-04 13:16:49.771 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
2026-02-04 13:16:49.843 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-04 13:16:49.843 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1379 ms
2026-02-04 13:16:50.983 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-02-04 13:16:50.995 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-02-04 13:16:51.002 [main] INFO  com.sau.BlogSystemApplication - Started BlogSystemApplication in 2.901 seconds (process running for 3.547)
2026-02-04 14:04:57.838 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-02-04 14:04:57.996 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
